Date,Description,Money in,Money out
16/08/2023,0,0.0,10.0
16/08/2023,BILL PAYMENT VIA FASTER £ 20.00,0.0,20.0
16/12/2023,TESCO STORES 2544 (VIA APPLE £ 2.60,0.0,2.6
17/01/2024,"STARBUCKS (VIA APPLE PAY), ON £ 2.40",0.0,2.4
17/01/2024,"STARBUCKS (VIA APPLE PAY), ON £ 2.80",0.0,2.8
17/01/2024,"TINTICO (VIA APPLE PAY), ON £ 4.00",0.0,4.0
17/03/2024,0,600.0,0.0
17/03/2024,Third party payment made via £ 196.13,0.0,196.13
17/03/2024,BILL PAYMENT VIA FASTER £ 50.00,0.0,50.0
17/04/2024,"TFL TRAVEL CH (VIA APPLE PAY), £ 6.40",0.0,6.4
17/04/2024,TRUE CHICKEN LTD (VIA APPLE £ 12.08,0.0,12.08
17/04/2024,FIVE GUYS SOUTH KENSIN (VIA £ 11.75,0.0,11.75
17/05/2024,TRUE CHICKEN LTD (VIA APPLE £ 8.79,0.0,8.79
17/05/2024,"TFL TRAVEL CH (VIA APPLE PAY), £ 6.40",0.0,6.4
17/06/2024,PAUL UK SOUTH KENSINGT (VIA £ 2.80,0.0,2.8
17/06/2024,"TFL TRAVEL CH (VIA APPLE PAY), £ 6.40",0.0,6.4
17/06/2024,0,100.0,0.0
17/06/2024,MEDI FOOD CENTRE (VIA APPLE £ 5.08,0.0,5.08
17/08/2023,BILL PAYMENT VIA FASTER £ 30.00,0.0,30.0
17/12/2023,"COSTA COFFEE (VIA APPLE PAY), £ 1.95",0.0,1.95
17/12/2023,"COSTA COFFEE (VIA APPLE PAY), £ 3.80",0.0,3.8
18/01/2024,"TINTICO (VIA APPLE PAY), ON £ 3.20",0.0,3.2
18/01/2024,TESCO STORES 2544 (VIA APPLE £ 5.48,0.0,5.48
18/01/2024,TESCO STORES 2296 (VIA APPLE £ 10.00,0.0,10.0
18/01/2024,DICLE FOOD CENTRE (VIA APPLE £ 4.44,0.0,4.44
18/01/2024,"STARBUCKS (VIA APPLE PAY), ON £ 2.80",0.0,2.8
18/01/2024,"ALDI 776-048 (VIA APPLE PAY), ON £ 2.98",0.0,2.98
18/01/2024,MCDONALDS 420 (VIA APPLE £ 2.78,0.0,2.78
18/02/2024,"TFL TRAVEL CH (VIA APPLE PAY), £ 3.50",0.0,3.5
18/02/2024,"TFL TRAVEL CH (VIA APPLE PAY), £ 3.50",0.0,3.5
18/04/2024,MEDI FOOD CENTRE (VIA APPLE £ 8.67,0.0,8.67
